size,density,noise_level,negative_values,seed,algorithm,start_node,end_node,result_status,path,distance,execution_time_seconds,path_length
500,0.2,0.0,True,204,bellman_ford,203,440,success,203 -> 440,384.0,13.382922,2
500,0.2,0.1,False,205,dijkstra,222,246,success,222 -> 246,916.0,0.025312,2
500,0.2,0.1,True,206,bellman_ford,4,40,negative_cycle,,-inf,13.492702,0
500,0.2,0.5,False,207,dijkstra,259,337,success,259 -> 130 -> 337,977.0,0.024558,3
500,0.2,0.5,True,208,bellman_ford,142,269,negative_cycle,,-inf,14.191994,0
500,0.2,0.8,False,209,dijkstra,285,336,success,285 -> 378 -> 336,988.0,0.025374,3
500,0.2,0.8,True,210,bellman_ford,196,3,negative_cycle,,-inf,14.409964,0
500,0.5,0.0,False,211,dijkstra,289,182,success,289 -> 116 -> 182,343.0,0.013605,3
500,0.5,0.0,True,212,bellman_ford,202,311,success,202 -> 161 -> 311,419.0,19.453612,3
500,0.5,0.1,False,213,dijkstra,77,208,success,77 -> 361 -> 208,188.0,0.002924,3
500,0.5,0.1,True,214,bellman_ford,264,373,negative_cycle,,-inf,20.161083,0
500,0.5,0.5,False,215,dijkstra,22,323,success,22 -> 224 -> 46 -> 323,496.0,0.015665,4
500,0.5,0.5,True,216,bellman_ford,439,106,negative_cycle,,-inf,21.153568,0
500,0.5,0.8,False,217,dijkstra,491,146,success,491 -> 207 -> 236 -> 146,696.0,0.027844,4
500,0.5,0.8,True,218,bellman_ford,153,95,negative_cycle,,-inf,22.108533,0
500,0.8,0.0,False,219,dijkstra,357,326,success,357 -> 326,325.0,0.014613,2
500,0.8,0.0,True,220,bellman_ford,382,391,success,382 -> 424 -> 391,568.0,24.72424,3
500,0.8,0.1,False,221,dijkstra,125,217,success,125 -> 33 -> 153 -> 217,587.0,0.032985,4
500,0.8,0.1,True,222,bellman_ford,398,55,negative_cycle,,-inf,24.720566,0
500,0.8,0.5,False,223,dijkstra,170,183,success,170 -> 458 -> 409 -> 183,1018.0,0.038367,4
500,0.8,0.5,True,224,bellman_ford,32,432,negative_cycle,,-inf,27.032372,0
500,0.8,0.8,False,225,dijkstra,358,461,success,358 -> 235 -> 431 -> 461,919.0,0.034342,4
500,0.8,0.8,True,226,bellman_ford,247,16,negative_cycle,,-inf,28.421512,0
500,1.0,0.0,False,227,dijkstra,204,465,success,204 -> 465,253.0,0.011254,2
500,1.0,0.0,True,228,bellman_ford,470,386,success,470 -> 313 -> 300 -> 386,496.0,28.031054,4
500,1.0,0.1,False,229,dijkstra,270,71,success,270 -> 460 -> 71,266.0,0.010172,3
500,1.0,0.1,True,230,bellman_ford,360,82,negative_cycle,,-inf,28.105828,0
500,1.0,0.5,False,231,dijkstra,437,11,success,437 -> 96 -> 11,321.0,0.009241,3
500,1.0,0.5,True,232,bellman_ford,143,63,negative_cycle,,-inf,30.476416,0
500,1.0,0.8,False,233,dijkstra,349,410,success,349 -> 410,422.0,0.009293,2
500,1.0,0.8,True,234,bellman_ford,175,135,negative_cycle,,-inf,32.199008,0
1000,0.2,0.0,False,235,dijkstra,355,742,success,355 -> 628 -> 742,588.0,0.069069,3
1000,0.2,0.0,True,236,bellman_ford,689,379,success,689 -> 540 -> 379,728.0,108.662922,3
1000,0.2,0.1,False,237,dijkstra,637,506,success,637 -> 827 -> 715 -> 427 -> 174 -> 506,739.0,0.106218,6
1000,0.2,0.1,True,238,bellman_ford,814,380,negative_cycle,,-inf,110.442477,0
1000,0.2,0.5,False,239,dijkstra,121,196,success,121 -> 959 -> 196,902.0,0.106583,3
1000,0.2,0.5,True,240,bellman_ford,884,631,negative_cycle,,-inf,116.094933,0
1000,0.2,0.8,False,241,dijkstra,704,546,success,704 -> 842 -> 375 -> 546,976.0,0.10179,4
1000,0.2,0.8,True,242,bellman_ford,343,28,negative_cycle,,-inf,117.043772,0
1000,0.5,0.0,False,243,dijkstra,916,538,success,916 -> 538,657.0,0.128822,2
1000,0.5,0.0,True,244,bellman_ford,968,769,success,968 -> 769,685.0,155.836895,2
1000,0.5,0.1,False,245,dijkstra,128,294,success,128 -> 222 -> 992 -> 294,931.0,0.138719,4
1000,0.5,0.1,True,246,bellman_ford,949,61,negative_cycle,,-inf,158.6465,0
1000,0.5,0.5,False,247,dijkstra,469,346,success,469 -> 346,247.0,0.00535,2
1000,0.5,0.5,True,248,bellman_ford,856,425,negative_cycle,,-inf,170.920518,0
1000,0.5,0.8,False,249,dijkstra,277,596,success,277 -> 632 -> 594 -> 749 -> 596,972.0,0.137735,5
1000,0.5,0.8,True,250,bellman_ford,396,411,negative_cycle,,-inf,178.593606,0
1000,0.8,0.0,False,251,dijkstra,455,675,success,455 -> 670 -> 30 -> 547 -> 253 -> 675,762.0,0.146187,6
1000,0.8,0.0,True,252,bellman_ford,795,636,success,795 -> 184 -> 636,1034.0,898.498949,3
1000,0.8,0.1,False,253,dijkstra,551,544,success,551 -> 963 -> 544,302.0,0.038667,3
1000,0.8,0.1,True,254,bellman_ford,383,513,negative_cycle,,-inf,230.410842,0
1000,0.8,0.5,False,255,dijkstra,56,332,success,56 -> 43 -> 332,490.0,0.088949,3
1000,0.8,0.5,True,256,bellman_ford,500,317,negative_cycle,,-inf,219.19101,0
1000,0.8,0.8,False,257,dijkstra,324,421,success,324 -> 246 -> 421,424.0,0.080554,3
1000,0.8,0.8,True,258,bellman_ford,669,881,negative_cycle,,-inf,1141.934659,0
1000,1.0,0.0,False,259,dijkstra,40,823,success,40 -> 863 -> 823,340.0,0.046594,3
1000,1.0,0.0,True,260,bellman_ford,215,73,success,215 -> 61 -> 288 -> 73,509.0,993.246357,4
1000,1.0,0.1,False,261,dijkstra,443,31,success,443 -> 239 -> 31,659.0,0.136195,3
1000,1.0,0.1,True,262,bellman_ford,320,773,negative_cycle,,-inf,225.322176,0
1000,1.0,0.5,False,263,dijkstra,759,908,success,759 -> 908,515.0,0.127535,2
1000,1.0,0.5,True,264,bellman_ford,636,792,negative_cycle,,-inf,245.890691,0
1000,1.0,0.8,False,265,dijkstra,828,401,success,828 -> 971 -> 891 -> 401,715.0,0.147747,4
1000,1.0,0.8,True,266,bellman_ford,989,71,negative_cycle,,-inf,258.661784,0
